사고유형대분류,사고유형중분류,사고유형,사고건수,사망자수,중상자수,경상자수,부상신고자수
차대사람,횡단중,횡단중,12767,445,5999,6664,458
차대사람,차도통행중,차도통행중,3628,146,1438,2007,183
차대사람,길가장자리구역통행중,길가장자리구역통행중,1973,33,563,1330,121
차대사람,보도통행중,보도통행중,2226,21,745,1455,131
차대사람,기타,기타,14675,333,4887,9139,1062
차대차,정면충돌,정면충돌,7892,205,3539,8837,588
차대차,측면충돌,측면충돌,71687,404,17756,84667,5781
차대차,후진중충돌,후진중충돌,3514,2,304,4172,162
차대차,추돌,추돌,32717,379,7564,47111,2748
차대차,기타,기타,44222,248,9990,49616,3839
차량단독,전도,전도,956,82,384,403,209
차량단독,전복,전복,165,36,87,81,27
차량단독,공작물충돌,공작물충돌,2742,340,1256,1504,532
차량단독,주/정차차량 충돌,주/정차차량 충돌,23,3,7,8,6
차량단독,도로이탈,도로이탈 추락,385,73,199,179,44
차량단독,도로이탈,도로이탈 기타,156,18,73,79,34
차량단독,기타,기타,3401,148,1114,2030,495
철길건널목,철길건널목,철길건널목,1,0,0,1,0
